Type,Status,Date,Payee,Category/Account,Amount,Note,Memo,Number,Security,Shares,Price/Share,Commission
Withdrawal,Uncleared,12/12/2023,WHT,Taxes,"-Rs 4,489",WHT tax from 03 march 2023 till 26 june 2023,,,,"","",""
Withdrawal,Uncleared,26/06/2023,Earnings Received,Admob (Games Rumble),"US$120,200.00",,,,,"","",""
Withdrawal,Uncleared,30/05/2023,Earnings Received,UnityAds (MR),"US$44,363.00",,,,,"","",""
Withdrawal,Uncleared,25/05/2023,Earnings Received,Admob (Games Rumble),"US$142,887.00",,,,,"","",""
Withdrawal,Uncleared,22/05/2023,Earnings Received,Playstore (GamesRumble),US$666.00,,,,,"","",""
Withdrawal,Uncleared,28/04/2023,Earnings Received,Admob (Games Rumble),"US$168,973.00",,,,,"","",""
Withdrawal,Uncleared,19/04/2023,Earnings Received,Playstore (GamesRumble),"US$1,417.00",,,,,"","",""
Withdrawal,Uncleared,07/04/2023,Earnings Received,UnityAds (MR),"US$86,704.00",,,,,"","",""
Withdrawal,Uncleared,30/03/2023,Earnings Received,Playstore (GamesRumble),US$653.00,,,,,"","",""
Withdrawal,Uncleared,30/03/2023,Earnings Received,Admob (Games Rumble),"US$155,367.00",,,,,"","",""
Withdrawal,Uncleared,03/03/2023,Earnings Received,Admob (Games Rumble),"US$148,924.00",,,,,"","",""
Withdrawal,Uncleared,03/03/2023,Earnings Received,Playstore (GamesRumble),"US$2,437.00",,,,,"","",""
Withdrawal,Uncleared,31/01/2023,Adjustment,Adjustment,"-Rs 3,917",,,,,"","",""
Withdrawal,Uncleared,31/01/2023,WHT,Taxes,"-Rs 7,909",WHT for transactions from 05 Aug 22 to 30 Jan 23,,,,"","",""
Withdrawal,Uncleared,30/01/2023,Earnings Received,Admob (Games Rumble),"US$214,988.00",,,,,"","",""
Withdrawal,Uncleared,30/01/2023,Earnings Received,Playstore (GamesRumble),"US$1,120.00",,,,,"","",""
Withdrawal,Uncleared,27/01/2023,Earnings Received,[CLOSED] Appstore (Ahmad Saleem),"Rs 25,237",,,,,"","",""
Withdrawal,Uncleared,10/01/2023,Earnings Received,UnityAds (MR),"US$28,703.00",,,,,"","",""
Withdrawal,Uncleared,27/12/2022,Earnings Received,Admob (Games Rumble),"US$273,819.00",,,,,"","",""
Withdrawal,Uncleared,27/12/2022,Earnings Received,Playstore (GamesRumble),"US$2,060.00",,,,,"","",""
Withdrawal,Uncleared,29/11/2022,Earnings Received,UnityAds (MR),"US$29,370.00",,,,,"","",""
Withdrawal,Uncleared,24/11/2022,Earnings Received,Admob (Games Rumble),"US$522,230.00",,,,,"","",""
Withdrawal,Uncleared,24/11/2022,Earnings Received,Playstore (GamesRumble),"US$1,745.00",,,,,"","",""
Withdrawal,Uncleared,14/11/2022,Earnings Received,UnityAds (MR),"US$31,016.00",,,,,"","",""
Withdrawal,Uncleared,01/11/2022,Earnings Received,Unity Asset Store (TPL),"US$160,331.00",,,,,"","",""
Withdrawal,Uncleared,01/11/2022,Earnings Received,Facebook (TopTrending),"US$24,843.00",,,,,"","",""
Withdrawal,Uncleared,01/11/2022,Earnings Received,Playstore (GamesRumble),"US$3,272.00",,,,,"","",""
Withdrawal,Uncleared,01/11/2022,Earnings Received,Admob (Games Rumble),"US$185,859.00",,,,,"","",""
Withdrawal,Uncleared,04/10/2022,Earnings Received,UnityAds (MR),"US$39,110.00",,,,,"","",""
Withdrawal,Uncleared,30/09/2022,Earnings Received,Admob (Games Rumble),"US$182,872.00",,,,,"","",""
Withdrawal,Uncleared,30/09/2022,Earnings Received,[CLOSED] Appstore (Ahmad Saleem),"Rs 48,463",,,,,"","",""
Withdrawal,Uncleared,30/09/2022,TPL Unknown,TPL Unknown,"Rs 4,793",TPL Unknown,,,,"","",""
Withdrawal,Uncleared,29/09/2022,Earnings Received,Unity Ads (TopTrending),"US$28,002.00",,,,,"","",""
Withdrawal,Uncleared,14/09/2022,Earnings Received,Admob (Games Rumble),"US$108,762.00",,,,,"","",""
Withdrawal,Uncleared,14/09/2022,Earnings Received,Facebook (TopTrending),"US$49,592.00",,,,,"","",""
Withdrawal,Uncleared,14/09/2022,Earnings Received,UnityAds (MR),"US$47,435.00",,,,,"","",""
Withdrawal,Uncleared,14/09/2022,Earnings Received,Unity Ads (TopTrending),"US$26,245.00",,,,,"","",""
Withdrawal,Uncleared,13/09/2022,Earnings Received,Playstore (GamesRumble),"US$3,019.00",,,,,"","",""
Withdrawal,Uncleared,05/08/2022,Earnings Received,Unity Asset Store (TPL),"US$168,011.00",,,,,"","",""
Withdrawal,Uncleared,05/08/2022,Earnings Received,UnityAds (MR),"US$39,451.00",,,,,"","",""
Withdrawal,Uncleared,26/07/2022,Earnings Received,[CLOSED] Appstore (Ahmad Saleem),"Rs 28,311",,,,,"","",""
Withdrawal,Uncleared,26/07/2022,WHT,Taxes,"-Rs 2,394",,,,,"","",""
Withdrawal,Uncleared,26/07/2022,Earnings Received,Admob (Games Rumble),"US$239,497.00",,,,,"","",""
Withdrawal,Uncleared,21/07/2022,Earnings Received,Playstore (GamesRumble),US$258.00,,,,,"","",""
Withdrawal,Uncleared,05/07/2022,WHT,Taxes,-Rs 364,,,,,"","",""
Withdrawal,Uncleared,05/07/2022,Earnings Received,UnityAds (MR),"US$36,497.00",,,,,"","",""
Withdrawal,Uncleared,05/07/2022,WHT,Taxes,-Rs 216,,,,,"","",""
Withdrawal,Uncleared,05/07/2022,Earnings Received,Unity Ads (TopTrending),"US$21,688.00",,,,,"","",""
Withdrawal,Uncleared,04/07/2022,Earnings Received,[CLOSED] Appstore (Ahmad Saleem),"Rs 44,237",,,,,"","",""
Withdrawal,Uncleared,27/06/2022,WHT,Taxes,-Rs 707,,,,,"","",""
Withdrawal,Uncleared,27/06/2022,Earnings Received,Admob (Games Rumble),"US$70,779.00",,,,,"","",""
Withdrawal,Uncleared,01/06/2022,WHT,Taxes,-Rs 227,,,,,"","",""
Withdrawal,Uncleared,01/06/2022,Earnings Received,[CLOSED] UnityAds (Pumplum),"US$22,761.00",,,,,"","",""
Withdrawal,Uncleared,31/05/2022,WHT,Taxes,-Rs 299,,,,,"","",""
Withdrawal,Uncleared,31/05/2022,Earnings Received,Unity Ads (TopTrending),"US$29,907.00",,,,,"","",""
Withdrawal,Uncleared,31/05/2022,WHT,Taxes,-Rs 473,,,,,"","",""
Withdrawal,Uncleared,31/05/2022,Earnings Received,UnityAds (MR),"US$47,359.00",,,,,"","",""
Withdrawal,Uncleared,25/05/2022,WHT,Taxes,-Rs 326,,,,,"","",""
Withdrawal,Uncleared,25/05/2022,Earnings Received,Facebook (TopTrending),"US$32,602.00",This USD rate needs to be rechecked,,,,"","",""
Withdrawal,Uncleared,17/05/2022,WHT,Taxes,-Rs 5,,,,,"","",""
Withdrawal,Uncleared,17/05/2022,Earnings Received,Playstore (GamesRumble),US$478.00,,,,,"","",""
Withdrawal,Uncleared,10/05/2022,Adjustment,Adjustment,-Rs 88,,,,,"","",""
Withdrawal,Uncleared,10/05/2022,WHT,Taxes,"-Rs 1,767",,,,,"","",""
Withdrawal,Uncleared,10/05/2022,Earnings Received,Unity Asset Store (TPL),"US$86,392.00",,,,,"","",""
Withdrawal,Uncleared,10/05/2022,Earnings Received,Unity Asset Store (MR),"US$90,136.00",,,,,"","",""
Withdrawal,Uncleared,10/05/2022,WHT,Taxes,-Rs 382,,,,,"","",""
Withdrawal,Uncleared,10/05/2022,Earnings Received,UnityAds (MR),"US$38,273.00",,,,,"","",""
Withdrawal,Uncleared,10/05/2022,WHT,Taxes,-Rs 257,,,,,"","",""
